id,provincia,nombre,lat,lon
54084050,Misiones,Puerto Piray,-26.4673386069983,-54.7180267487723
54084010,Misiones,Caraguatay,-26.6572810012338,-54.7391795233471
54091010,Misiones,Colonia Alberdi,-27.3600310986771,-55.2313265030991
54091017,Misiones,Barrio Escuela 633,-27.4703554822804,-55.080588446021
54091020,Misiones,Campo Ramón,-27.4542687586517,-55.022947769629
54091030,Misiones,Campo Viera,-27.3309716091006,-55.054252029246
54091050,Misiones,General Alvear,-27.4263468328633,-55.1696034483008
54091060,Misiones,Guaraní,-27.5231765026164,-55.1576461294309
54091070,Misiones,Los Helechos,-27.5576633248325,-55.0762633853702
54091080,Misiones,Oberá,-27.4867909555976,-55.1200569831231
54091090,Misiones,Panambí,-27.7220280431487,-54.914825780103
54091100,Misiones,Panambí Kilómetro 8,-27.668501220684,-54.9826786595937
54091105,Misiones,Panambi Kilómetro 15,-27.7091503252118,-54.9674495140254
54091120,Misiones,Villa Bonita,-27.4829003439968,-54.9648326532294
54091110,Misiones,San Martín,-27.4660441598294,-55.275544957396
54091013,Misiones,Barrio Escuela 461,-27.6244592236857,-55.0394679958911
54091040,Misiones,El Salto,-27.4951949137245,-55.1987279548598
54098010,Misiones,Colonia Polana,-26.98199339199,-55.3182255547661
54098020,Misiones,Corpus,-27.1294685196132,-55.5108314506366
54098030,Misiones,Domingo Savio,-27.3554312415588,-55.3384703486921
54098040,Misiones,General Urquiza,-27.1078663191089,-55.3766161319568
54098050,Misiones,Gobernador Roca,-27.1900611618491,-55.4693193128167
54098060,Misiones,Helvecia,-27.1097342966114,-55.3444584490473
54098070,Misiones,Hipólito Yrigoyen,-27.0857111252786,-55.287419647088
54098090,Misiones,Oasis,-26.9717258466938,-55.2497234913103
54098100,Misiones,Roca Chica,-27.2142458424807,-55.4200172653031
54098110,Misiones,San Ignacio,-27.2586133303264,-55.5389747941103
54098080,Misiones,Jardín América,-27.0431587896035,-55.2270180224147
54098120,Misiones,Santo Pipó,-27.1401239915784,-55.4085092855596
54098005,Misiones,Barrio Tungoil,-27.1148151629571,-55.3838706211331
54105010,Misiones,Florentino Ameghino,-27.6336169442892,-55.0855260883891
54105020,Misiones,Itacaruaré,-27.8714005672072,-55.262214014731
